module,type,name,res_id,src,value
xpr_dealer,sql_constraint,res.partner,0,A code already exists with this name. Code must be unique.,Un code existe déjà avec ce nom. Le code doit être unique.
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_amgeneral,AMGeneral,AMGeneral
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_portalmask_ammq_aqvl,QMDA / ACVLQ,AMMQ / ACVLQ
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_atv,ATV,ATV
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_abitibi_temiscamingue,Abitibi/Témiscamingue,Abitibi/Témiscamingue
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_acura,Acura,Acura
xpr_dealer,field,"xpr_dealer.dealer,additional_website",0,Additional Website,Site web additionnel
xpr_dealer,view,xpr_dealer.dealer,xpr_dealer.view_dealer_form,Address,Adresse
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_alfaromeo,Alfa Romeo,Alfa Romeo
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_american_hotrod,American Hotrod,American Hotrod
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_aprilia,Aprilia,Aprilia
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_atv_arctic_cat,Arctic Cat,Arctic Cat
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_snowmobile_artic_cat,Arctic Cat,Arctic Cat
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_association,Association,Association
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_astonmartin,Aston Martin,Aston Martin
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_athabasca,Athabasca (div#13),Athabasca (div#13)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_audi,Audi,Audi
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_customer_auto123,Auto123,Auto123
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_portalmask_auto123_network,Auto123 Network,Réseau Auto123
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_certification_automatic,Automatic,Automatique
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_bmw,BMW,BMW
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_bmw,BMW,BMW
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_banff,Banff (div#15),Banff (div#15)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_barrie,Barrie,Barrie
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_bas_saint_laurent,Bas-Saint-Laurent,Bas-Saint-Laurent
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_benelli,Benelli,Benelli
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_bentley,Bentley,Bentley
xpr_dealer,field,"xpr_dealer.dealer,billing_city",0,Billing City,Ville de facturation
xpr_dealer,field,"xpr_dealer.dealer,billing_country_id",0,Billing Country,Pays de facturation
xpr_dealer,field,"xpr_dealer.dealer,billing_state_id",0,Billing State,État de facturation
xpr_dealer,field,"xpr_dealer.dealer,billing_street",0,Billing Street,Rue de facturation
xpr_dealer,field,"xpr_dealer.dealer,billing_street2",0,Billing Street2,Rue2 de facturation
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_bois_francs,Bois-Francs,Bois-Francs
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_atv_bombardier,Bombardier,Bombardier
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_atv_bombardier_brp,Bombardier (BRP),Bombardier (BRP)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_buell,Buell,Buell
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_bugatti,Bugatti,Bugatti
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_buick,Buick,Buick
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_business,Business,Entreprise
xpr_dealer,field,"xpr_dealer.dealer,business",0,Business,Entreprise
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_customer_ccaq,CCAQ,CCAQ
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_cmi_motor,CMI-Motor,CMI-Motor
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_cpi,CPI,CPI
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_cadillac,Cadillac,Cadillac
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_market_calgary,Calgary,Calgary
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_calgary,Calgary (div#6),Calgary (div#6)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_campagna,Campagna,Campagna
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_campagna,Campagna,Campagna
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_camrose_lloydminster,Camrose-Lloydminster (div#10),Camrose-Lloydminster (div#10)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_atv_can_am,Can-Am,Can-Am
