module,type,name,res_id,src,value
xpr_product,view,product.product,xpr_product.product_normal_form_view,Accounting,Comptabilité
xpr_product,view,product.template,xpr_product.product_template_only_form_view,Accounting,Comptabilité
xpr_product,model,"product.category,name",xpr_product.advertising,Advertising,Publicité
xpr_product,field,"product.template,categ_term",0,Category,Catégorie
xpr_product,view,product.product,xpr_product.product_normal_form_view,Inventory,Inventaire
xpr_product,view,product.template,xpr_product.product_template_only_form_view,Inventory,Inventaire
xpr_product,field,"product.template,one_time_payment",0,One Time Payment,Paiement Unique
xpr_product,view,product.product,xpr_product.product_normal_form_view,Procurements,Approvisionnements
xpr_product,view,product.template,xpr_product.product_template_only_form_view,Procurements,Approvisionnements
xpr_product,model,"ir.model,name",xpr_product.model_product_template,Product Template,Modèle d'article
xpr_product,model,"product.category,name",xpr_product.seo,SEO,SEO
xpr_product,model,"ir.model,name",xpr_product.model_sale_order,Sales Order,Commande de vente
xpr_product,help,"product.template,categ_term",0,Select category for the current product,Choisir la catégorie du produit courant
xpr_product,model,"product.category,name",xpr_product.visibility,Visibility,Visibilité
xpr_product,model,"product.category,name",xpr_product.website,Website,Site web
