"id","lang","module","src","res_id","source","state","name","value","comments","type"
"xpr_report.ir_translation_01","fr_FR","xpr_report","30 days","","30 days","Translated","xpr_report.report_saleorder","30 jours","","Report/Template"
"xpr_report.ir_translation_02","fr_FR","xpr_report","Disc.($)","","Disc.($)","Translated","xpr_report.report_saleorder","Rabais($)","","Report/Template"
"xpr_report.ir_translation_03","fr_FR","xpr_report","Discount($)","","Discount($)","Translated","xpr_report.report_saleorder","Rabais($)","","Report/Template"
"xpr_report.ir_translation_04","fr_FR","xpr_report","Invoice address :","","Invoice address :","Translated","xpr_report.report_saleorder","Addresse de facturation :","","Report/Template"
"xpr_report.ir_translation_05","fr_FR","xpr_report","Payment Term","","Payment Term","Translated","xpr_report.report_saleorder","Condition de règlement","","Report/Template"
"xpr_report.ir_translation_06","fr_FR","xpr_report","Shipping address :","","Shipping address :","Translated","xpr_report.report_saleorder","Addresse de livraison :","","Report/Template"
"xpr_report.ir_translation_07","fr_FR","xpr_report","Solution :","","Solution :","Translated","xpr_report.report_saleorder","Solution :","","Report/Template"
"xpr_report.ir_translation_08","fr_FR","xpr_report","Date Ordered","","Date Ordered","Translated","xpr_report.report_saleorder","Date Ordered","","Report/Template"
"xpr_report.ir_translation_09","fr_FR","xpr_report","Dealercode:","","Dealercode:","Translated","xpr_report.report_saleorder","Dealercode:","","Report/Template"
"xpr_report.ir_translation_10","fr_FR","xpr_report","Description","","Description","Translated","xpr_report.report_saleorder","Description","","Report/Template"
"xpr_report.ir_translation_11","fr_FR","xpr_report","Monthly Total :","","Monthly Total :","Translated","xpr_report.report_saleorder","Total Mensuel:","","Report/Template"
"xpr_report.ir_translation_12","fr_FR","xpr_report","Quotation Date","","Quotation Date","Translated","xpr_report.report_saleorder","Date de commande","","Report/Template"
"xpr_report.ir_translation_13","fr_FR","xpr_report","Sales taxes applicable in the dealership’s province will be included in invoicing.","","Sales taxes applicable in the dealership’s province will be included in invoicing.","Translated","xpr_report.report_saleorder","Les taxes de ventes applicables à la province concernés seront inclus à la facturation.","","Report/Template"
"xpr_report.ir_translation_14","fr_FR","xpr_report","Salesperson","","Salesperson","Translated","xpr_report.report_saleorder","Vendeur","","Report/Template"
"xpr_report.ir_translation_15","fr_FR","xpr_report","Starting Date","","Starting Date","Translated","xpr_report.report_saleorder","Date de Départ","","Report/Template"
"xpr_report.ir_translation_16","fr_FR","xpr_report","Total :","","Total :","Translated","xpr_report.report_saleorder","Total :","","Report/Template"
"xpr_report.ir_translation_17","fr_FR","xpr_report","Price","","Price","Translated","xpr_report.report_saleorder","Prix","","Report/Template"
"xpr_report.ir_translation_18","fr_FR","xpr_report","Product","","Product","Translated","xpr_report.report_saleorder","Produit","","Report/Template"
"xpr_report.ir_translation_19","fr_FR","xpr_report","Quantity","","Quantity","Translated","xpr_report.report_saleorder","Quantité","","Report/Template"
"xpr_report.ir_translation_20","fr_FR","xpr_report","Quotation (for approval) N°","","Quotation (for approval) N°","Translated","xpr_report.report_saleorder","N° Devis (pour approbation)","","Report/Template"
"xpr_report.ir_translation_21","fr_FR","xpr_report","VAT :","","VAT :","Translated","xpr_report.report_saleorder","TVA :","","Report/Template"
"xpr_report.ir_translation_22","fr_FR","xpr_report","Tel. :","","Tel. :","Translated","xpr_report.report_saleorder","Tél. :","","Report/Template"
"xpr_report.ir_translation_23","fr_FR","xpr_report","Unit Price","","Unit Price","Translated","xpr_report.report_saleorder","Prix unitaire","","Report/Template"
"xpr_report.ir_translation_24","fr_FR","xpr_report","Your Reference","","Your Reference","Translated","xpr_report.report_saleorder","Votre Référence","","Report/Template"
"xpr_report.ir_translation_25","fr_FR","xpr_report","Fax :","","Fax :","Translated","xpr_report.report_saleorder","Fax :","","Report/Template"
"xpr_report.ir_translation_26","fr_FR","xpr_report","One Time Total :","","One Time Total :","Translated","xpr_report.report_saleorder","Total frais initiaux:","","Report/Template"
"xpr_report.ir_translation_27","fr_FR","xpr_report","Phone:","","Phone:","Translated","sale.order","Téléphone:","","Report/Template"
"xpr_report.ir_translation_28","fr_FR","xpr_report","Mail:","","Mail:","Translated","sale.order","Courriel:","","Report/Template"
"xpr_report.ir_translation_29","fr_FR","xpr_report","Phone: 1 866 370-1411 | Fax: 450 681-1203 | Email: support@evolio.ca | Website: http://www.evolio.ca/","","Phone: 1 866 370-1411 | Fax: 450 681-1203 | Email: support@evolio.ca | Website: http://www.evolio.ca/","Translated","sale.order","Tél: 1 866 370-1411 | Fax: 450 681-1203 | Courriel: support@evolio.ca | Site web: http://www.evolio.ca/","","Report/Template"
"xpr_report.ir_translation_30","fr_FR","xpr_report","Account consultant initials _____ Client initials _____","","Account consultant initials _____ Client initials _____","Translated","sale.order","Initiales du représentant _____ Initiales du client _____","","Report/Template"
