module,type,name,res_id,src,value
xpr_sale_process,model,"ir.actions.act_window,help",xpr_sale_process.action_contracts,"<p class=""oe_view_nocontent_create"">
                    Click to create a quotation that can be converted into a sales order.
                </p>
                <p>
                    Odoo will help you efficiently handle the complete sales flow: quotation, sales order, delivery, invoicing and payment.
                </p>
            ","<p class=""oe_view_nocontent_create"">
                    Click to create a quotation that can be converted into a sales order.
                </p>
                <p>
                    Odoo will help you efficiently handle the complete sales flow: quotation, sales order, delivery, invoicing and payment.
                </p>
            "
xpr_sale_process,model,"ir.actions.client,help",xpr_sale_process.action_my_opportunity,"<p>
                    No opportunity activity found.
                </p>
            ","<p>
                    No opportunity activity found.
                </p>
            "
xpr_sale_process,model,"ir.actions.client,help",xpr_sale_process.action_team_opportunity,"<p>
                    No opportunity activity found.
                </p>
            ","<p>
                    No opportunity activity found.
                </p>
            "
xpr_sale_process,model,"email.template,body_html",xpr_sale_process.opportunity_reminder_mail,"<p>This opportunity requires your attention today:</p><ul><li>Name: ${object.name}</li><li>ID: ${object.id}</li><li>Action: ${object.title_action}</li></ul>
            ","<p>This opportunity requires your attention today:</p><ul><li>Name: ${object.name}</li><li>ID: ${object.id}</li><li>Action: ${object.title_action}</li></ul>
            "
xpr_sale_process,model,"res.groups,name",xpr_sale_process.advertising,Advertising,Advertising
xpr_sale_process,model,"email.template,subject",xpr_sale_process.quotation_availability_notify_mail,Advertising Availability Request: ${object.partner_id != False and object.partner_id.name or object.contact_name},Approbation de disponibilité de publicité : ${object.partner_id != False and object.partner_id.name or object.contact_name}
xpr_sale_process,model,"email.template,subject",xpr_sale_process.quotation_availability_refused,Advertising Not available: ${object.partner_id != False and object.partner_id.name or object.contact_name},Publicité non disponible: ${object.partner_id != False and object.partner_id.name or object.contact_name}
xpr_sale_process,model,"res.groups,name",xpr_sale_process.discount_all,All Discounts,All Discounts
xpr_sale_process,field,"product.category,approval_group",0,Approval Group,Approval Group
xpr_sale_process,view,sale.order,xpr_sale_process.sale_order_xprima_sale_process_view,Approve,Approve
xpr_sale_process,view,sale.order,xpr_sale_process.sale_order_xprima_sale_process_view,Availability Checked,Availability Checked
xpr_sale_process,view,xpr_sale_process.availability_message,xpr_sale_process.view_availability_check_message,Back to Rep,Back to Rep
xpr_sale_process,view,xpr_sale_process.availability_message,xpr_sale_process.view_availability_check_message,Cancel,Cancel
xpr_sale_process,field,"crm.lead,category",0,Category,Category
xpr_sale_process,field,"crm.make.sale,category",0,Category,Category
xpr_sale_process,view,sale.order,xpr_sale_process.sale_order_search,Category,Category
xpr_sale_process,field,"sale.order,category",0,Category,Category
xpr_sale_process,model,"ir.actions.act_window,name",xpr_sale_process.action_companies,Companies,Sociétés
xpr_sale_process,model,"ir.ui.menu,name",xpr_sale_process.menu_companies,Companies,Sociétés
xpr_sale_process,model,"res.groups,name",xpr_sale_process.create_company,Company Creation,Company Creation
xpr_sale_process,model,"ir.actions.act_window,name",xpr_sale_process.action_contacts,Contacts,Contacts
xpr_sale_process,model,"ir.ui.menu,name",xpr_sale_process.menu_contacts,Contacts,Contacts
xpr_sale_process,model,"ir.actions.act_window,name",xpr_sale_process.action_contracts,Contracts,Contracts
xpr_sale_process,model,"ir.ui.menu,name",xpr_sale_process.menu_contracts,Contracts,Contrats
xpr_sale_process,field,"xpr_sale_process.availability_message,create_uid",0,Created by,Created by
xpr_sale_process,field,"xpr_sale_process.availability_message,create_date",0,Created on,Created on
xpr_sale_process,view,sale.order,xpr_sale_process.sale_order_xprima_sale_process_view,Customer Approved,Customer Approved
xpr_sale_process,view,sale.order,xpr_sale_process.sale_order_xprima_sale_process_view,Customer not Approved,Customer not Approved
xpr_sale_process,view,res.partner,xpr_sale_process.rep_partner tree,Customers,Clients
xpr_sale_process,model,"email.template,subject",xpr_sale_process.quotation_manager_approval_mail,Discount Approval Request: ${object.partner_id != False and object.partner_id.name or object.contact_name},Approbation de rabais : ${object.partner_id != False and object.partner_id.name or object.contact_name}
xpr_sale_process,field,"xpr_sale_process.availability_message,for_approval",0,For approval,For approval
xpr_sale_process,help,"product.category,approval_group",0,Group of users that must approve products of this category,Group of users that must approve products of this category
xpr_sale_process,model,"res.groups,name",xpr_sale_process.group_hidden,Hidden,Hidden
xpr_sale_process,field,"xpr_sale_process.availability_message,id",0,ID,ID
xpr_sale_process,field,"xpr_sale_process.availability_message,write_uid",0,Last Updated by,Last Updated by
xpr_sale_process,field,"xpr_sale_process.availability_message,write_date",0,Last Updated on,Last Updated on
xpr_sale_process,model,"ir.model,name",xpr_sale_process.model_crm_lead,Lead/Opportunity,Piste/opportunité
xpr_sale_process,view,sale.order,xpr_sale_process.sale_order_xprima_sale_process_view,Lost,Lost
xpr_sale_process,model,"ir.model,name",xpr_sale_process.model_crm_make_sale,Make sales,Conclure les ventes
xpr_sale_process,field,"xpr_sale_process.availability_message,message",0,Message,Message
xpr_sale_process,model,"ir.actions.client,name",xpr_sale_process.action_my_opportunity,My Opportunity Notes,My Opportunity Notes
xpr_sale_process,model,"ir.ui.menu,name",xpr_sale_process.menu_opportunities,My Opportunity Notes,Mes notes
xpr_sale_process,view,res.partner,xpr_sale_process.partner_search,My Partners,Mes partenaires
xpr_sale_process,view,sale.order,xpr_sale_process.sale_order_xprima_sale_process_view,Not Approved,Not Approved
xpr_sale_process,view,sale.order,xpr_sale_process.sale_order_xprima_sale_process_view,Not Available,Not Available
xpr_sale_process,view,sale.order,xpr_sale_process.sale_order_search,Order Month,Mois de commande
xpr_sale_process,field,"xpr_sale_process.availability_message,order_id",0,Order id,Order id
