module,type,name,res_id,src,value
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_abitibi_temiscamingue_res_partner_category,Abitibi/Témiscamingue,Abitibi/Témiscamingue
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_athabasca_res_partner_category,Athabasca (div#13),Athabasca (div#13)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_banff_res_partner_category,Banff (div#15),Banff (div#15)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_barrie_res_partner_category,Barrie,Barrie
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_bas_saint_laurent_res_partner_category,Bas-Saint-Laurent,Bas-Saint-Laurent
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_bois_francs_res_partner_category,Bois-Francs,Bois-Francs
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_calgary_res_partner_category,Calgary (div#6),Calgary (div#6)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_camrose_lloydminster_res_partner_category,Camrose-Lloydminster (div#10),Camrose-Lloydminster (div#10)
xpr_xis_connector,field,"xpr_xis_connector.dealer.certification,category",0,Category,Catégorie
xpr_xis_connector,field,"xpr_xis_connector.dealer.region,category",0,Category,Catégorie
xpr_xis_connector,field,"res.partner.category,certification",0,Certification Info,Info sur la certification
xpr_xis_connector,model,"ir.actions.act_window,name",xpr_xis_connector.certification_action,Certifications,Certifications
xpr_xis_connector,model,"ir.ui.menu,name",xpr_xis_connector.dealer_certification_menu,Certifications,Certifications
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_chaudiere_appalaches_res_partner_category,Chaudière-Appalaches,Chaudière-Appalaches
xpr_xis_connector,field,"xpr_xis_connector.dealer.certification,create_uid",0,Created by,Créé par
xpr_xis_connector,field,"xpr_xis_connector.dealer.region,create_uid",0,Created by,Créé par
xpr_xis_connector,field,"xpr_xis_connector.dealer.certification,create_date",0,Created on,Créé le
xpr_xis_connector,field,"xpr_xis_connector.dealer.region,create_date",0,Created on,Créé le
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_cote_nord_res_partner_category,Côte-Nord,Côte-Nord
xpr_xis_connector,view,xpr_xis_connector.dealer.certification,xpr_xis_connector.view_dealer_certification_form,Definition,Définition
xpr_xis_connector,view,xpr_xis_connector.dealer.region,xpr_xis_connector.view_dealer_region_form,Definition,Définition
xpr_xis_connector,field,"xpr_xis_connector.dealer.certification,description",0,Description,Description
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_drumheller_res_partner_category,Drumheller (div#5),Drumheller (div#5)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_edmonton_res_partner_category,Edmonton (div#11),Edmonton (div#11)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_edson_res_partner_category,Edson (div#14),Edson (div#14)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_estrie_res_partner_category,Estrie,Estrie
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_fort_macleod_res_partner_category,Fort Macleod (div#3),Fort Macleod (div#3)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_fort_mcmurray_res_partner_category,Fort McMurray (div#16),Fort McMurray (div#16)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_gaspesie_iles_de_la_madeleine_res_partner_category,Gaspésie/Iles de la Madeleine,Gaspésie/ìles-de-la-Madeleine
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_grande_cache_res_partner_category,Grande Cache (div#18),Grande Cache (div#18)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_grande_prairie_res_partner_category,Grande Prairie (div#19),Grande Prairie (div#19)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_hamilton_res_partner_category,Hamilton,Hamilton
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_hanna_res_partner_category,Hanna (div#4),Hanna (div#4)
xpr_xis_connector,field,"xpr_xis_connector.dealer.certification,id",0,ID,ID
xpr_xis_connector,field,"xpr_xis_connector.dealer.region,id",0,ID,ID
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_kenora_res_partner_category,Kenora,Kenora
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_kingston_res_partner_category,Kingston,Kingston
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_kitchener_waterloo_res_partner_category,Kitchener/Waterloo,Kitchener/Waterloo
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_lanaudiere_res_partner_category,Lanaudière,Lanaudière
xpr_xis_connector,field,"xpr_xis_connector.dealer.certification,write_uid",0,Last Updated by,Dernière mise à jour par
xpr_xis_connector,field,"xpr_xis_connector.dealer.region,write_uid",0,Last Updated by,Dernière mise à jour par
xpr_xis_connector,field,"xpr_xis_connector.dealer.certification,write_date",0,Last Updated on,Dernière mise à jour
xpr_xis_connector,field,"xpr_xis_connector.dealer.region,write_date",0,Last Updated on,Dernière mise à jour
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_laurentides_res_partner_category,Laurentides,Laurentides
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_laval_res_partner_category,Laval,Laval
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_lethbridge_res_partner_category,Lethbridge (div#2),Lethbridge (div#2)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_london_res_partner_category,London,London
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_manitoulin_island_res_partner_category,Manitoulin Island,Manitoulin Island
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_mauricie_res_partner_category,Mauricie,Mauricie
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_medicine_hat_res_partner_category,Medicine Hat (div#1),Medicine Hat (div#1)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_montreal_res_partner_category,Montréal,Montréal
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_monteregie_res_partner_category,Montérégie,Montérégie
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_moose_factory_res_partner_category,Moose Factory,Moose Factory
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_niagara_falls_res_partner_category,Niagara Falls,Niagara Falls
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_nord_du_quebec_res_partner_category,Nord-du-Québec,Nord-du-Québec
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_north_bay_res_partner_category,North Bay,North Bay
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_ottawa_res_partner_category,Ottawa,Ottawa
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_outaouais_res_partner_category,Outaouais,Outaouais
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_owen_sound_res_partner_category,Owen Sound,Owen Sound
xpr_xis_connector,model,"ir.model,name",xpr_xis_connector.model_res_partner,Partner,Partenaire
