module,type,name,res_id,src,value
sale,model,"ir.actions.act_window,help",sale.action_orders,"<p class=""oe_view_nocontent_create"">
                    Click to create a quotation that can be converted into a sales
                    order.
                </p><p>
                    Odoo will help you efficiently handle the complete sales flow:
                    quotation, sales order, delivery, invoicing and payment.
                </p>
            ","<p class=""oe_view_nocontent_create"">
Cliquez pour créer une soumission qui peut être converti en bon de commande.
</p><p>
Odoo vous aidera à gérer efficacement le flux de vente complet:
soumission, bon de commande, livraison, facturation et paiement.
</p>
            "
sale,model,"ir.actions.act_window,help",sale.act_res_partner_2_sale_order,"<p class=""oe_view_nocontent_create"">
                Click to create a quotation or sales order for this customer.
              </p><p>
                Odoo will help you efficiently handle the complete sale flow:
                quotation, sales order, delivery, invoicing and
                payment.
              </p><p>
                The social feature helps you organize discussions on each sales
                order, and allow your customer to keep track of the evolution
                of the sales order.
              </p>
            ","<p class=""oe_view_nocontent_create"">
Cliquez pour créer une soumission ou bon de commande pour ce client.
</p><p>
Odoo vous aidera à gérer efficacement le flux de vente complet:
soumission, bon de commande, livraison, facturation et paiement.
</p><p>
La fonctionnalité sociale vous aide à organiser des discussions sur chaque commande, et permet à votre client de garder trace de l'évolution de la commande.
</p>
            "
sale,model,"ir.actions.act_window,help",sale.action_orders_salesteams,"<p class=""oe_view_nocontent_create"">
                Click to create a quotation that can be converted into a sales
                order.
              </p><p>
                Odoo will help you efficiently handle the complete sales flow:
                quotation, sales order, delivery, invoicing and payment.
              </p>
            ","<p class=""oe_view_nocontent_create"">
Cliquez pour créer une soumission qui pourra être converti en bon de commande.
</p><p>
Odoo vous aidera à gérer efficacement le flux de vente complet:
soumission, bon de commande, livraison, facturation et paiement.
</p>
            "
sale,model,"ir.actions.act_window,help",sale.action_quotations,"<p class=""oe_view_nocontent_create"">
                Click to create a quotation, the first step of a new sale.
              </p><p>
                Odoo will help you handle efficiently the complete sale flow:
                from the quotation to the sales order, the
                delivery, the invoicing and the payment collection.
              </p><p>
                The social feature helps you organize discussions on each sales
                order, and allow your customers to keep track of the evolution
                of the sales order.
              </p>
            ","<p class=""oe_view_nocontent_create"">
Cliquez pour créer une soumission, première étape d'une vente.
</p><p>
Odoo vous aidera à gérer efficacement le flux de vente complet:
soumission, bon de commande, livraison, facturation et paiement.
</p><p>
La fonctionnalité sociale vous aide à organiser des discussions sur chaque commande, et permet à votre client de garder trace de l'évolution de la commande.
</p>
            "
sale,model,"ir.actions.act_window,help",sale.action_quotations_salesteams,"<p class=""oe_view_nocontent_create"">
                Click to create a quotation, the first step of a new sale.
              </p><p>
                Odoo will help you handle efficiently the complete sale flow:
                from the quotation to the sales order, the
                delivery, the invoicing and the payment collection.
              </p><p>
                The social feature helps you organize discussions on each sales
                order, and allow your customers to keep track of the evolution
                of the sales order.
              </p>
            ","<p class=""oe_view_nocontent_create"">
Cliquez pour créer une soumission, première étape d'une vente.
</p><p>
Odoo vous aidera à gérer efficacement le flux de vente complet:
soumission, bon de commande, livraison, facturation et paiement.
</p><p>
La fonctionnalité sociale vous aide à organiser des discussions sur chaque commande, et permet à votre client de garder trace de l'évolution de la commande.
</p>
            "
sale,field,"sale.config.settings,module_website_quote",0,Allow online quotations and templates,Permet les soumissions en ligne et modèles associés
sale,help,"sale.config.settings,module_sale_stock",0,"Allows you to Make Quotation, Sale Order using different Order policy and Manage Related Stock.
-This installs the module sale_stock.","Vous permet de faire des soumissions, des bons de commande en utilisant différentes politiques de commande et de gérer le stock associé.
- Ceci installe le module sale_stock."
sale,view,sale.order,sale.view_order_form,Cancel Quotation,Annuler la soumission
sale,help,"crm.case.section,use_quotations",0,Check this box to manage quotations in this sales team.,Cochez cette case pour gérer les soumissions de cette équipe commerciale.
sale,help,"res.company,sale_note",0,Default terms and conditions for quotations.,Conditions générales pour les soumissions.
